Genre,Artist,Album,Year,,Label,CatNo,Country
Blues / Rock,"Meade ""Lux"" Lewis",Barrel House Piano,1957,,Tops Records,L1533,USA
Blues / Rock,Fats Domino,My Blue Heaven,1971,,Pickwick/33 Records,PRL-105,USA
Blues / Rock,Robert Cray,Strong Persuader,1986,,Mercury,422 830 568-1 M-1,USA
Classical,Antonio Vivaldi / Michel Schwalbé / Berliner Philharmoniker / Herbert von Karajan,Le Quattro Stagioni,1972,,Deutsche Grammophon,2530 296,DEU
Classical,Colin Davis / BBC Symphony Orchestra,At The Last Night Of The Proms ,1969,,Phillips,6588 011,NLD
Classical,Sebastian & Det Kgl. Kapel,Et Eventyr,1989,,Rosen,ROLP 69,DNK
Rock,Various,(The Very Best Of Country) Southern Nights,1984,,EMI,MFP 4156711,GBR
Rock,Willie Nelson,Stardust,1978,,Columbia,AL 35305,USA
Electronic,Various,Trance Europe Express,1993,,Format,TEEX LP1,GBR
Electronic,Death In Vegas,Blood Yawning,1999,,Concrete,YAWNING1,GBR
Electronic,Proyecto Uno,El Tiburon (Remix),1995,,Café Latino,CAF 018,ITA
Electronic,Ripchord,Thrill Cosby,2009,,Jato Unit,JATOA003,DNK
Funk / Soul,Kid Creole & The Coconuts,Tropical Gangsters,1982,,ZE Records,ILPS 7016,GBR
Funk / Soul,Barry White,Just Another Way To Say I Love You,1975,,Philips,6370 222,USA
Pop,Boney M,Nightflight To Venus,1978,,Hansa International,34 009 1,DEU
Funk / Soul,Diana Ross and The Supremes,Baby Love,1973,,Tamla Motown,SPR 90001,GBR
Funk / Soul,Four Tops,Night Lights Harmony,1975,,ABS Records,ABCD-862,USA
Funk / Soul,George McCrae,Rock Your Baby,1974,,RCA Victor,KPL1-0501,DEU
Funk / Soul,Lionel Richie,Can’t Slow Down,1983,,Motown Records,ZL72020,W. DEU
Funk / Soul,The Stylistics,In Fashion,1978,,Mercury,6338 891,NLD
Funk / Soul,The Stylistics,The Best of The Stylistics,1975,,Avco,AV-69005-698,USA
Funk / Soul,The Supremes,Where Did Our Love Go,1964,,Motown,MT 621,USA
Funk / Soul,Diana Ross,Ross,1978,,Motown Records,2C 068 61416,FRA
Rock,Redbone,The Best of Redbone,1973,,Epic,EPC 65678,NLD
Hip Hop,The Pharcyde,"Passin' Me By (12"")",1993,,Delicious Vinyl,0-10114,USA
Hip Hop,The Pharcyde,"Drop / Y? (Be Like That) 12""",1996,,Delicious Vinyl,Y 7243 8 58551 1 5,USA
Hip Hop,EPMD,Out of Business,1999,,Def Jam Recordings,314 558 928-1,USA
Hip Hop,Blackstreet & Mya Featuring Ma$e & Blinky Blink ,"Take Me There (12"", Promo) ",1998,,Interscope Records,SAM 172T,GBR
Hip Hop,Nice & Smooth,IV : Blazing Hot,1997,,Street Life Records ,72392 75534-1,USA
Hip Hop,Ludacris,Word Of Mouf,2001,,Def Jam South,DEFF 15449-1,USA
Hip Hop,A Tribe Called Quest,"Jazz (We've Got) 12""",1991,,Jive,01241-42035-1,USA
Hip Hop,Afu-Ra,Body of the Life Force,2000,,D&D Records,D1111AB,USA
Hip Hop,Alchemist,The Chemistry Files: An Instrumental Series - The Ultimate Music Machine ,2002,,ALC Music Recorded Library,ALC-006,USA
Hip Hop,Atmosphere,"Godlovesugly 12""",2002,,Fat Beats,FBR2502,USA
Hip Hop,Big L,"Street Struck 12""",1995,,Columbia,XSS 7384B,USA
Hip Hop,Cut Master D.C.,"Brooklyn Rocks The Best / Santa's Beat Box 12""",1986,,Zakia Records,ZK-019,USA
Hip Hop,Danger Mouse,The Early Years: 2001-2003,2005,,Not On Label (Self-released),none,USA
Hip Hop,DJ Clue,The Professional,1998,,Roc A Fella Records,314 558 891-1,USA
Hip Hop,DJ Format,If You Can't Join 'Em... Beat 'Em,2005,,PIAS Recordings,GEN 030DLP,GBR
Hip Hop,DJ Jazzy Jeff & The Fresh Prince,"Summertime 12""",1991,,Jive,1442-1-JDAB,USA
Hip Hop,DJ JS-1 & Dub-L Featuring O.C.,"Beyond 12""",2002,,Ground Original / Yosumi Records,YSJS 004,USA
Hip Hop,Gang Starr,"Full Clip 12""",1999,,Virgin,7243 8 38663 1 1,USA
Hip Hop,Geto Boys,"Mind Playing Tricks On Me 12""",1991,,Rap A Lot Records,VL 7421,USA
Hip Hop,Hurby's Machine,The House That Rap Built,1987,,Sound Check/Next Plateau Records,FFRLP 2,USA
Hip Hop,Inspectah Deck,The Best of Inspectah Deck,2003,,AV8,AV320,USA
Hip Hop,Jedi Mind Tricks,Visions of Gandhi,2003,,Babygrande,BBG-LP-006,USA
Hip Hop,Kreators,"Home / Run Wit Us 12""",2001,,Not On Label,KR 9001,USA
Hip Hop,KRS One,"Return Of The Boom Bap 12""",1994,,Jive,01241-42208-1,USA
Hip Hop,MC Lyte,"Keep On, Keepin' On 12""",1996,,EastWest Records America ‎,0-66044,USA
Hip Hop,Method Man,"Release Yo' Delf 12""",1995,,Def Jam Recordings,422-854-185-1,USA
Hip Hop,MF Doom,"Dead Bent / Doomsday 12""",2004,,Money Studies Records,MS-007,USA
Hip Hop,Mobb Deep,"Shook Ones Part II 12""",1995,,Loud Records,07863 64315-1,USA
Hip Hop,N.W.A.,"Gangsta Gangsta: 12"" Maxi-Single",1988,,Ruthless Records / Priority Records,VL-57105,USA
Hip Hop,RJD2,In Rare Form: Unreleased Instrumentals,2004,,Bustown Pride Recordings,BTP001 ,USA
Hip Hop,Ronnie Joseph,"Oh Yeah 12""",2000,,Motown,MOTR-20094-1,USA
Hip Hop,Slick Rick,"Children's Story 12""",1989,,Def Jam Recordings,44 68223,USA
Hip Hop,Slum Village,"Selfish 12""",2004,,Capitol Records,Y 7243 5 48901 1 6,USA
Hip Hop,Snoop Doggy Dogg,"Gin and Juice 12""",1994,,Death Row Records,0-95951,USA
Hip Hop,Talib Kweli,"I Try 12""",2004,,Rawkus,B0003604-11,USA
